Бренд,Модель,Год,Город,Кузов,"Объем двигателя, л",Пробег,Коробка передач,Руль,Цвет,Привод,Растаможен в Казахстане,Цена,Средння цена,На заказ,VIN,Аварийная/Не на ходу,Двигатель
Ford,Ranger, 2006,Шымкент,пикап,2.5 (дизель),,механика,слева,серый металлик,полный привод,Да,2 200 000 ₸,2 500 000,,,,
Toyota,Camry, 2009,Жанаозен,седан,2.4 (газ-бензин),152 000 км,автомат,слева,зеленый металлик,передний привод,Нет,5 500 000 ₸,5 884 000,,,,
Toyota,Land Cruiser, 2017,Туркестан,внедорожник,4.6 (бензин),97 км,автомат,слева,белый металлик,полный привод,Да,33 000 000 ₸,31 622 000,,,,
Mercedes-Benz,CLS 350, 2005,Нур-Султан (Астана),купе,5 (бензин),160 000 км,автомат,слева,черный металлик,задний привод,Да,7 500 000 ₸,5 250 000,На заказ,,,
Audi,A6, 1998,Шымкент,седан,2.8 (бензин),416 100 км,типтроник,слева,серебристый металлик,полный привод,Да,2 100 000 ₸,2 261 000,,12345678*01****67,,
Hummer,H3, 2007,Усть-Каменогорск,внедорожник,3.7 (газ-бензин),210 000 км,автомат,слева,белый,полный привод,Да,7 100 000 ₸,7 400 000,,,,
Chery,Fora, 2011,Караганда,седан,2 (газ-бензин),180 000 км,механика,слева,черный,передний привод,Нет,1 400 000 ₸,1 000 000,,,,
Honda,Fit Aria, 2002,Нур-Султан (Астана),седан,1 (бензин),160 000 км,вариатор,справа,серебристый металлик,передний привод,Нет,2 000 000 ₸,,,,,
ВАЗ (Lada),2131 (5-ти дверный), 2003,Костанай,универсал,1.7 (бензин),,механика,слева,синий,полный привод,Да,1 150 000 ₸,1 000 000,,,,
ВАЗ (Lada),2109 (хэтчбек), 1998,Усть-Каменогорск,хэтчбек,1.5 (бензин),,механика,слева,синий,передний привод,Да,600 000 ₸,652 000,,,,
Toyota,Camry, 2007,Караганда,седан,2.4 (бензин),44 454 км,автомат,справа,серебристый металлик,полный привод,Да,7 900 000 ₸,5 098 000,,00000000*00****04,,
Kia,Rio, 2014,Костанай,седан,1.4 (бензин),,автомат,слева,белый,передний привод,Нет,2 700 000 ₸,4 378 000,,,,
Toyota,Camry, 2014,Уральск,седан,2.5 (бензин),149 000 км,автомат,слева,черный металлик,передний привод,Нет,6 200 000 ₸,8 484 000,,,,
Mercedes-Benz,Sprinter, 2013,Уральск,микроавтобус,2.2 (дизель),,механика,слева,синий металлик,,Да,11 000 000 ₸,11 022 000,,,,
