Бренд,Модель,Год,Город,Кузов,"Объем двигателя, л",Пробег,Коробка передач,Руль,Цвет,Привод,Растаможен в Казахстане,Цена,Средння цена,На заказ,VIN,Аварийная/Не на ходу,Двигатель
Toyota,Camry, 2010,Атырау,седан,2.4 (газ-бензин),200 000 км,автомат,слева,черный,,Да,6 800 000 ₸,6 356 000,,,,
Kia,Rio, 2018,Кокшетау,седан,1.6 (бензин),80 000 км,механика,слева,белый,передний привод,Нет,3 400 000 ₸,6 170 000,,,,
Toyota,RAV 4, 2007,Алматы,кроссовер,3.5 (бензин),241 350 км,автомат,слева,синий металлик,полный привод,Да,6 100 000 ₸,6 028 000,,,,
Kia,Sportage, 2011,Жезказган,кроссовер,2 (бензин),88 000 км,типтроник,слева,черный,передний привод,Да,6 880 000 ₸,6 525 000,,,,
BMW,750, 2009,Уральск,седан,4.4 (бензин),180 км,типтроник,слева,черный металлик,задний привод,Да,6 200 000 ₸,7 650 000,,,,
BMW,, 1999,Шымкент,седан,2.8 (бензин),,автомат,слева,серебристый металлик,задний привод,Да,3 800 000 ₸,,,,,
Honda,CR-V, 1996,Алматы,кроссовер,2 (бензин),,автомат,справа,зеленый металлик,передний привод,Да,3 000 000 ₸,2 616 000,,,,
Mercedes-Benz,E 200, 1994,Караганда,седан,2 (бензин),,механика,слева,бордовый,задний привод,Да,1 400 000 ₸,1 723 000,,,,
Toyota,Land Cruiser Prado, 2004,Караганда,внедорожник,2.7 (газ-бензин),300 000 км,автомат,слева,серебристый металлик,полный привод,Да,7 450 000 ₸,8 077 000,,,,
Toyota,RAV 4, 2012,Алматы,кроссовер,2.5 (бензин),124 000 км,автомат,слева,зеленый металлик,полный привод,Да,7 950 000 ₸,8 189 000,,,,
Toyota,Avensis, 2009,Нур-Султан (Астана),седан,2 (бензин),,типтроник,слева,синий,передний привод,Да,5 500 000 ₸,5 151 000,,,,
Hyundai,ix35, 2014,Усть-Каменогорск,хэтчбек,2 (бензин),97 000 км,механика,слева,черный металлик,передний привод,Да,6 300 000 ₸,6 533 000,,,,
Toyota,Camry, 2013,Нур-Султан (Астана),седан,2.5 (бензин),166 500 км,автомат,слева,черный металлик,передний привод,Да,8 500 000 ₸,8 043 000,,,,
Opel,Omega, 1994,Караганда,седан,2.5 (бензин),,механика,слева,синий,задний привод,Да,1 300 000 ₸,922 000,,,,
Audi,100, 1991,Кызылорда,седан,2.3 (газ-бензин),200 000 км,автомат,слева,белый,передний привод,Да,1 600 000 ₸,1 530 000,,,,
Toyota,Land Cruiser Prado, 2016,Караганда,внедорожник,2.7 (бензин),101 000 км,автомат,слева,черный металлик,полный привод,Да,15 499 999 ₸,17 089 000,,,,
Lexus,RX 450h, 2010,Костанай,кроссовер,3.5 (гибрид),172 000 км,автомат,слева,белый,полный привод,Да,10 300 000 ₸,11 500 000,,,,
SsangYong,Kyron, 2012,Алматы,внедорожник,2.3 (бензин),186 000 км,механика,слева,серебристый металлик,,Да,4 100 000 ₸,4 211 000,,,,
Nissan,Maxima, 2000,Алматы,седан,3 (газ-бензин),,механика,слева,серый,передний привод,Да,1 800 000 ₸,2 213 000,,,,
Kia,Picanto, 2009,Костанай,хэтчбек,1.1 (бензин),100 000 км,автомат,слева,серебристый металлик,передний привод,Да,3 000 000 ₸,3 300 000,,,,
Volkswagen,Touareg, 2010,Нур-Султан (Астана),кроссовер,3.6 (бензин),122 000 км,типтроник,слева,белый,полный привод,Да,10 500 000 ₸,8 483 000,,,,
ВАЗ (Lada),2114 (хэтчбек), 2013,Костанай,хэтчбек,1.5 (бензин),,механика,слева,серый металлик,,Да,1 800 000 ₸,1 646 000,,,,
Chevrolet,Niva, 2006,Уральск,внедорожник,1.7 (бензин),200 000 км,механика,слева,черный,полный привод,Да,1 500 000 ₸,1 400 000,,,,
Toyota,Camry, 2012,Уральск,седан,2.5 (бензин),175 000 км,автомат,слева,черный,передний привод,Нет,6 600 000 ₸,8 000 000,,JTNBFYFK*03****02,,
Toyota,Land Cruiser, 2015,Усть-Каменогорск,внедорожник,4.6 (бензин),162 000 км,автомат,слева,белый,полный привод,Да,25 500 000 ₸,22 893 000,,,,
ВАЗ (Lada),2114 (хэтчбек), 2012,Шымкент,хэтчбек,1.5 (бензин),,механика,слева,черный,передний привод,Да,1 750 000 ₸,1 513 000,,,,
Toyota,Hilux, 2013,Алматы,пикап,2.7 (бензин),148 000 км,механика,слева,белый,полный привод,Да,11 300 000 ₸,8 344 000,,,,
Toyota,Alphard, 2008,Аксай,минивэн,2.4 (бензин),118 000 км,автомат,слева,черный,передний привод,Нет,5 000 000 ₸,6 000 000,,ANH10-01*96****54,,
Volkswagen,Golf, 1990,Шымкент,хэтчбек,1.8 (бензин),160 000 км,механика,слева,зеленый металлик,,Да,1 300 000 ₸,751 000,На заказ,,,
Volkswagen,Golf, 1994,Мерке,хэтчбек,1.8 (бензин),,механика,слева,зеленый,передний привод,Да,1 400 000 ₸,1 147 000,,,,
ВАЗ (Lada),2115 (седан), 2005,Актобе,седан,1.6 (бензин),180 000 км,механика,слева,,,Да,750 000 ₸,910 000,,,,
Opel,Astra, 2000,Абай (Абайский р-н),хэтчбек,1.6 (бензин),3 100 км,механика,слева,черный металлик,передний привод,Да,1 800 000 ₸,1 820 000,,,,
Toyota,RAV 4, 2008,Алматы,кроссовер,2 (бензин),139 000 км,автомат,слева,серый металлик,полный привод,Да,7 100 000 ₸,6 470 000,,,,
Kia,Cerato, 2015,Актобе,седан,1.6 (бензин),108 000 км,автомат,слева,серебристый,передний привод,Да,5 950 000 ₸,5 975 000,,,,
Opel,Vectra, 1995,Костанай,седан,1.8 (бензин),350 000 км,механика,слева,синий,передний привод,Да,1 200 000 ₸,1 131 000,,,,
Toyota,Sienna, 2014,Атырау,минивэн,3.5 (бензин),152 887 км,автомат,слева,зеленый металлик,передний привод,Да,10 350 000 ₸,11 675 000,,,,
BMW,X5, 2002,Алматы,кроссовер,4.6 (бензин),300 000 км,автомат,слева,красный металлик,,Да,3 650 000 ₸,4 418 000,,WBAFB910*3L****03,,
Mercedes-Benz,Sprinter, 2008,Алматы,микроавтобус,4.3 (газ-бензин),300 000 км,автомат,слева,белый металлик,задний привод,Да,6 500 000 ₸,6 944 000,,,,
Toyota,Estima, 2005,Костанай,минивэн,3 (газ-бензин),113 000 км,автомат,справа,белый,передний привод,Нет,3 600 000 ₸,6 288 000,,,,
Mercedes-Benz,E 200, 2013,Шымкент,седан,2 (бензин),125 000 км,автомат,слева,черный металлик,задний привод,Да,9 200 000 ₸,9 270 000,,,,
Honda,Elysion, 2004,Костанай,минивэн,2.4 (газ-бензин),,автомат,справа,черный,,Нет,3 000 000 ₸,4 000 000,,,,
Mercedes-Benz,E 320, 1993,Алматы,седан,3.2 (бензин),269 000 км,автомат,слева,черный,,Да,2 850 000 ₸,2 600 000,,,,
Renault,Master, 2016,Атырау,микроавтобус,2.3 (дизель),160 000 км,механика,слева,белый,задний привод,Да,10 000 000 ₸,10 000 000,,,,
SsangYong,Kyron, 2013,Алматы,кроссовер,2.3 (газ-бензин),230 000 км,механика,слева,белый металлик,полный привод,Да,3 430 000 ₸,3 935 000,,,,
Lexus,GX 460, 2013,Караганда,внедорожник,4.6 (бензин),135 000 км,типтроник,слева,белый металлик,полный привод,Да,15 700 000 ₸,16 700 000,,,,
Kia,Cerato, 2014,Актау,седан,1.6 (газ-бензин),110 000 км,автомат,слева,черный,передний привод,Да,5 200 000 ₸,5 343 000,,,,
ГАЗ,ГАЗель, 2010,Сарыагаш,фургон,2.9 (газ-бензин),,механика,слева,белый металлик,полный привод,Да,2 800 000 ₸,4 155 000,,,,
Toyota,Camry, 2012,Сарыагаш,седан,2.5 (бензин),123 000 км,автомат,слева,серый металлик,передний привод,Да,8 200 000 ₸,8 000 000,,,,
BMW,528, 2000,Усть-Каменогорск,седан,2.8 (бензин),,типтроник,слева,синий металлик,задний привод,Да,3 500 000 ₸,3 186 000,,,,
ВАЗ (Lada),2121 Нива, 2005,Атырау,внедорожник,1.7 (бензин),,механика,слева,синий,полный привод,Да,820 000 ₸,1 118 000,,,,
Volkswagen,Tiguan, 2018,Костанай,кроссовер,2 (бензин),54 000 км,автомат,слева,белый,полный привод,Да,14 300 000 ₸,11 667 000,,,,
Mitsubishi,Galant, 2007,Нур-Султан (Астана),седан,2.4 (бензин),178 000 км,автомат,слева,черный металлик,передний привод,Нет,1 800 000 ₸,2 750 000,,Bjggcvhj*cf****vv,,
Toyota,Highlander, 2011,Алматы,кроссовер,3.5 (бензин),162 000 км,типтроник,слева,черный металлик,полный привод,Да,12 200 000 ₸,11 154 000,,,,
Chrysler,300C, 2007,Нур-Султан (Астана),седан,2.7 (бензин),,автомат,слева,,задний привод,Нет,2 800 000 ₸,4 277 000,,,,
Mitsubishi,Pajero Sport, 2011,Нур-Султан (Астана),внедорожник,2.5 (дизель),169 000 км,автомат,слева,черный,,Да,6 900 000 ₸,6 133 000,,,,
Hyundai,Accent, 2015,Нур-Султан (Астана),седан,1.6 (бензин),72 000 км,автомат,справа,серебристый металлик,передний привод,Да,4 850 000 ₸,4 696 000,,,,
ВАЗ (Lada),2106, 2004,Туркестан,седан,1.6 (бензин),,механика,слева,синий,задний привод,Нет,560 000 ₸,717 000,,,,
Toyota,Camry, 2002,Алматы,седан,2.4 (бензин),328 000 км,автомат,слева,серый металлик,передний привод,Да,4 500 000 ₸,4 082 000,,,,
Mitsubishi,Delica, 1994,Алматы,микроавтобус,2.5 (дизель),,автомат,справа,зеленый металлик,полный привод,Да,1 850 000 ₸,1 974 000,,,,
ВАЗ (Lada),2114 (хэтчбек), 2010,Караганда,седан,1.6 (бензин),88 000 км,механика,слева,черный,передний привод,Нет,1 100 000 ₸,1 323 000,,,,
Toyota,Land Cruiser Prado, 2017,Алматы,внедорожник,2.7 (бензин),35 000 км,типтроник,слева,черный металлик,полный привод,Да,18 800 000 ₸,19 513 000,,,,
Toyota,Camry, 2020,Алматы,седан,2.5 (бензин),1 км,типтроник,слева,белый металлик,передний привод,Да,16 300 000 ₸,15 177 000,,,,
Chrysler,PT Cruiser, 2003,Нур-Султан (Астана),хэтчбек,2.3 (бензин),,автомат,слева,красный,передний привод,Да,700 000 ₸,,,,Да,
Tesla,Model S, 2013,Караганда,лифтбек,,44 000 км,автомат,слева,белый,задний привод,Да,20 800 000 ₸,20 800 000,,,,электрический
Toyota,Camry, 2004,Павлодар,седан,3 (бензин),200 км,автомат,слева,серебристый металлик,передний привод,Нет,3 500 000 ₸,4 247 000,,,,
Lexus,ES 350, 2007,Актау,седан,3.5 (газ-бензин),156 км,автомат,слева,серебристый металлик,передний привод,Да,5 700 000 ₸,6 014 000,,,,
Kia,Rio, 2014,Алматы,седан,1.6 (бензин),106 000 км,автомат,слева,серебристый металлик,,Да,4 499 999 ₸,4 378 000,,,,
Hyundai,Tucson, 2019,Алматы,кроссовер,1.6 (бензин),14 000 км,робот,слева,белый,полный привод,Да,13 300 000 ₸,10 951 000,,,,
BMW,525, 1993,Жезказган,седан,2.5 (бензин),2 222 222 км,механика,слева,белый,задний привод,Да,1 400 000 ₸,1 716 000,,Bmwvhbgv*gc****36,,
Kia,Cee’d, 2012,Уральск,хэтчбек,1.4 (бензин),153 000 км,механика,слева,серебристый металлик,передний привод,Нет,2 400 000 ₸,4 650 000,,Fghyvvbh*xd****vf,,
Mercedes-Benz,E 240, 2000,Актобе,седан,2.4 (бензин),150 000 км,автомат,слева,серебристый металлик,задний привод,Нет,2 650 000 ₸,3 511 000,,,,
ГАЗ,ГАЗель, 2018,Нур-Султан (Астана),фургон,2.9 (газ-бензин),49 000 км,механика,слева,белый,задний привод,Да,7 500 000 ₸,6 952 000,,,,
Toyota,Camry, 2012,Актобе,седан,3.5 (бензин),,типтроник,слева,серебристый металлик,передний привод,Нет,6 500 000 ₸,8 000 000,,,,
Mercedes-Benz,E 500, 1989,Нур-Султан (Астана),седан,5 (бензин),73 000 км,автомат,слева,голубой,задний привод,Да,3 950 000 ₸,,,,,
Suzuki,Jimny, 2020,Алматы,внедорожник,1.5 (бензин),,автомат,слева,хамелеон металлик,полный привод,Да,14 900 000 ₸,,,,,
Mercedes-Benz,E 230, 1986,Аксукент,седан,2.3 (бензин),,механика,слева,черный металлик,задний привод,Да,750 000 ₸,,,,,
Audi,100, 1988,Алматы,седан,2.2 (бензин),300 000 км,механика,слева,белый металлик,передний привод,Да,1 000 000 ₸,,,,,
Kia,Sportage, 2012,Нур-Султан (Астана),кроссовер,2 (бензин),,механика,слева,,полный привод,Да,6 800 000 ₸,6 680 000,,,,
Chevrolet,Cruze, 2010,Талдыкорган,седан,1.8 (бензин),160 000 км,автомат,слева,красный металлик,передний привод,Да,3 600 000 ₸,3 273 000,,,,
Kia,Sportage, 2019,Уральск,кроссовер,2.4 (бензин),10 000 км,автомат,слева,белый,полный привод,Да,10 300 000 ₸,10 973 000,,,,
ВАЗ (Lada),21099 (седан), 1999,Шиели,седан,1.5 (бензин),,механика,слева,зеленый,передний привод,Да,700 000 ₸,597 000,,,,
Hyundai,Tucson, 2020,Шымкент,кроссовер,2 (бензин),5 км,автомат,слева,,,Да,10 090 000 ₸,11 591 000,,,,
Hyundai,Accent, 2020,Шымкент,седан,1.6 (бензин),5 км,автомат,слева,,,Да,6 590 000 ₸,6 813 000,,,,
Hyundai,Sonata, 2020,Шымкент,седан,2 (бензин),5 км,автомат,слева,,передний привод,Да,9 790 000 ₸,11 923 000,,,,
Hyundai,Creta, 2020,Шымкент,кроссовер,1.6 (бензин),5 км,автомат,слева,,передний привод,Да,7 690 000 ₸,8 337 000,,,,
Subaru,Legacy, 2007,Алматы,седан,2 (бензин),,автомат,слева,белый,полный привод,Да,4 500 000 ₸,4 329 000,,,,
ВАЗ (Lada),2106, 2004,Кентау,седан,1.6 (бензин),,механика,слева,синий,задний привод,Нет,560 000 ₸,717 000,,,,
Nissan,Maxima, 2004,Нур-Султан (Астана),седан,3 (бензин),248 км,автомат,слева,серебристый металлик,передний привод,Нет,1 350 000 ₸,2 975 000,,,,
Hyundai,Accent, 2012,Нур-Султан (Астана),седан,1.6 (бензин),87 000 км,автомат,слева,серый металлик,передний привод,Да,4 500 000 ₸,3 798 000,,,,
ВАЗ (Lada),2107, 2008,Атакент,седан,1.6 (бензин),,механика,слева,коричневый,,Нет,850 000 ₸,810 000,,,,
ВАЗ (Lada),2114 (хэтчбек), 2007,Нур-Султан (Астана),хэтчбек,1.5 (бензин),,механика,слева,,,Нет,640 000 ₸,958 000,,,,
BMW,X6, 2008,Алматы,кроссовер,3 (бензин),170 000 км,типтроник,слева,,полный привод,Да,8 600 000 ₸,8 160 000,,,,
Toyota,Alphard, 2003,Зайсан,минивэн,3 (бензин),,автомат,справа,,полный привод,Нет,4 000 000 ₸,4 500 000,,,,
ВАЗ (Lada),21099 (седан), 1998,Темиртау,седан,1.5 (бензин),250 000 км,механика,слева,серый,передний привод,Да,330 000 ₸,607 000,,,,
Mercedes-Benz,S 500, 2003,Алматы,седан,3.2 (бензин),75 000 км,автомат,слева,белый,задний привод,Да,6 500 000 ₸,3 243 000,,,,
Opel,Astra, 2012,Нур-Султан (Астана),хэтчбек,1.4 (бензин),102 000 км,автомат,слева,черный металлик,передний привод,Да,4 300 000 ₸,3 848 000,,XUFPE6DC*C3****40,,
Mercedes-Benz,GL 550, 2011,Нур-Султан (Астана),внедорожник,5.5 (бензин),205 000 км,автомат,слева,черный металлик,полный привод,Да,9 900 000 ₸,12 450 000,,,,
Volkswagen,Polo, 2016,Костанай,седан,1.6 (бензин),,автомат,слева,черный металлик,передний привод,Нет,3 550 000 ₸,4 624 000,,,,
Lexus,GS 300, 2005,Алматы,седан,3 (бензин),184 000 км,автомат,слева,белый,задний привод,Да,5 500 000 ₸,5 177 000,,,,
Mercedes-Benz,GLS 450, 2020,Нур-Султан (Астана),внедорожник,3 (гибрид),15 000 км,типтроник,слева,черный металлик,полный привод,Да,52 000 000 ₸,54 867 000,,,,
Toyota,Corolla, 2009,Нур-Султан (Астана),седан,1.8 (бензин),255 885 км,автомат,слева,,передний привод,Да,4 500 000 ₸,4 420 000,,,,
Honda,Stepwgn, 2007,Кокшетау,минивэн,2.4 (бензин),71 650 км,автомат,справа,белый,полный привод,Нет,3 550 000 ₸,5 500 000,На заказ,,,
Lexus,LX 570, 2019,Алматы,внедорожник,4.5 (дизель),46 000 км,автомат,слева,белый металлик,полный привод,Да,31 890 000 ₸,48 617 000,,,,
ВАЗ (Lada),1118 (седан), 2008,Уральск,седан,1.6 (бензин),140 000 км,механика,слева,серебристый,передний привод,Нет,990 000 ₸,1 125 000,,,,
Subaru,Outback, 2011,Алматы,универсал,2.5 (бензин),217 215 км,вариатор,слева,голубой металлик,полный привод,Да,5 850 000 ₸,6 515 000,,,,
Toyota,RAV 4, 2019,Алматы,кроссовер,2.5 (бензин),22 000 км,автомат,слева,,,Да,14 700 000 ₸,14 698 000,,,,
Lexus,GX 470, 2003,Шетпе,внедорожник,4.7 (газ-бензин),225 000 км,типтроник,слева,бежевый металлик,полный привод,Нет,6 000 000 ₸,7 074 000,,,,
Kia,K5, 2020,Нур-Султан (Астана),седан,2 (бензин),530 км,автомат,слева,белый металлик,передний привод,Да,11 700 000 ₸,13 415 000,,,,
Hyundai,i40, 2017,Актобе,седан,2 (бензин),62 000 км,автомат,слева,белый металлик,передний привод,Нет,5 500 000 ₸,7 400 000,,,,
Opel,Vectra, 1989,Степногорск,седан,2 (бензин),310 000 км,механика,слева,синий,передний привод,Да,1 000 000 ₸,,,,,
Volkswagen,Passat, 1996,Уральск,седан,1.8 (бензин),1 234 566 км,механика,слева,зеленый металлик,передний привод,Да,1 000 000 ₸,1 547 000,,,,
Hyundai,Solaris, 2014,Нур-Султан (Астана),седан,1.6 (бензин),126 000 км,механика,слева,белый,передний привод,Да,4 100 000 ₸,4 404 000,,,,
Mitsubishi,L200, 2008,Алматы,пикап,2.5 (дизель),,механика,слева,белый,полный привод,Да,5 000 000 ₸,4 028 000,,,,
ВАЗ (Lada),2114 (хэтчбек), 2009,Арысь,хэтчбек,1.5 (бензин),140 000 км,механика,слева,серебристый,передний привод,Нет,900 000 ₸,1 193 000,,,,
Hyundai,Sonata, 2008,Нур-Султан (Астана),седан,2 (газ),167 000 км,автомат,слева,серый металлик,передний привод,Да,3 600 000 ₸,3 443 000,,,,
Opel,Astra, 1992,Шымкент,хэтчбек,1.6 (бензин),,механика,слева,вишня,передний привод,Да,1 300 000 ₸,922 000,,,,
Daewoo,Nexia, 1993,Кордай,седан,1.6 (бензин),2 222 км,механика,слева,фиолетовый металлик,передний привод,Да,500 000 ₸,600 000,,,,
Lexus,RX 300, 2003,Актобе,кроссовер,3 (бензин),165 000 км,автомат,справа,белый,полный привод,Нет,3 850 000 ₸,5 319 000,,,,
ВАЗ (Lada),2112 (хэтчбек), 2006,Атырау,хэтчбек,1.6 (бензин),2 222 222 км,механика,слева,серый,передний привод,Нет,680 000 ₸,984 000,,,,
Subaru,Forester, 1998,Атырау,универсал,2 (бензин),,автомат,слева,,,Да,2 000 000 ₸,2 524 000,,,,
Nissan,Primera, 1991,Нур-Султан (Астана),седан,2 (бензин),360 000 км,механика,слева,серебристый,передний привод,Да,1 200 000 ₸,717 000,,,,
Mercedes-Benz,C 280, 1994,Алматы,седан,2.8 (бензин),,автомат,слева,,,Да,2 050 000 ₸,1 945 000,,,,
Honda,Stepwgn, 2007,Костанай,минивэн,2.4 (бензин),71 650 км,автомат,справа,белый,полный привод,Нет,3 550 000 ₸,5 500 000,,,,
Volkswagen,Polo, 2016,Караганда,седан,1.6 (бензин),135 000 км,автомат,слева,коричневый,передний привод,Да,4 650 000 ₸,4 624 000,,,,
Honda,Stepwgn, 2007,Нур-Султан (Астана),минивэн,2.4 (бензин),71 650 км,автомат,справа,белый,полный привод,Нет,3 550 000 ₸,5 500 000,На заказ,,,
Honda,Civic, 1995,Нур-Султан (Астана),седан,1.5 (бензин),123 456 км,механика,слева,синий,передний привод,Да,950 000 ₸,1 131 000,На заказ,,,
ВАЗ (Lada),Vesta, 2018,Нур-Султан (Астана),седан,1.6 (бензин),72 000 км,механика,слева,серый металлик,передний привод,Да,4 200 000 ₸,4 437 000,,,,
ВАЗ (Lada),2107, 2010,Павлодар,седан,1.5 (бензин),53 000 км,механика,слева,черный,задний привод,Нет,795 000 ₸,1 135 000,,,,
Mazda,6, 2004,Алматы,универсал,1.8 (бензин),,механика,слева,,передний привод,Да,2 400 000 ₸,2 365 000,,,,
Mitsubishi,Outlander, 2012,Актау,кроссовер,2.4 (газ-бензин),150 000 км,вариатор,слева,белый металлик,полный привод,Да,6 700 000 ₸,6 551 000,,,,
Porsche,Cayenne, 2007,Усть-Каменогорск,кроссовер,4.8 (бензин),,автомат,слева,,полный привод,Да,6 700 000 ₸,6 284 000,,,,
Toyota,Camry, 2015,Алматы,седан,2.5 (бензин),81 250 км,автомат,слева,черный металлик,передний привод,Да,9 650 000 ₸,9 564 000,,00000000*00****07,,
Lexus,RX 300, 2002,Алматы,кроссовер,3 (бензин),170 000 км,автомат,слева,бежевый металлик,полный привод,Да,5 350 000 ₸,5 072 000,,,,
Mercedes-Benz,C 240, 2001,Алматы,седан,2.4 (бензин),,автомат,слева,черный металлик,задний привод,Да,2 600 000 ₸,2 544 000,,,,
ВАЗ (Lada),2171 (универсал), 2011,Шымкент,универсал,1.6 (бензин),,механика,слева,серебристый металлик,передний привод,Да,1 700 000 ₸,1 668 000,,,,
Toyota,Camry, 2003,Алматы,седан,2.4 (газ-бензин),350 000 км,автомат,слева,синий,передний привод,Да,3 900 000 ₸,4 104 000,,6T1BE32K*3X****72,,
Nissan,Primera, 1996,Алматы,седан,2 (бензин),,механика,слева,серый,,Да,1 300 000 ₸,1 136 000,,,,
ВАЗ (Lada),2114 (хэтчбек), 2010,Уральск,хэтчбек,1.6 (газ-бензин),,механика,слева,серебристый металлик,передний привод,Нет,830 000 ₸,1 323 000,,,,
Toyota,Land Cruiser, 2003,Актобе,внедорожник,4.5 (газ-бензин),68 000 км,механика,слева,вишня металлик,полный привод,Да,15 500 000 ₸,7 368 000,,,,
ВАЗ (Lada),2171 (универсал), 2014,Актобе,универсал,1.6 (газ-бензин),118 000 км,механика,слева,белый,передний привод,Да,2 250 000 ₸,2 242 000,,,,
Hummer,H2, 2003,Усть-Каменогорск,внедорожник,6 (бензин),201 167 км,автомат,слева,бежевый,полный привод,Да,8 200 000 ₸,8 264 000,,,,
ВАЗ (Lada),Vesta, 2020,Караганда,универсал,1.8 (бензин),3 500 км,механика,слева,белый,передний привод,Да,5 500 000 ₸,5 260 000,,,,
Hyundai,Accent, 2013,Нур-Султан (Астана),седан,1.6 (бензин),126 000 км,механика,слева,белый,передний привод,Да,3 690 000 ₸,3 959 000,,,,
Volkswagen,Polo, 2017,Алматы,седан,1.4 (бензин),90 000 км,автомат,слева,белый,передний привод,Да,5 100 000 ₸,5 204 000,,,,
Mercedes-Benz,Sprinter, 2011,Нур-Султан (Астана),фургон,2.2 (дизель),,механика,слева,синий,задний привод,Нет,7 000 000 ₸,8 457 000,,,,
Toyota,Chaser, 1993,Нур-Султан (Астана),седан,2 (бензин),350 км,автомат,справа,,задний привод,Да,1 600 000 ₸,1 710 000,,,,
BMW,728, 1996,Шымкент,седан,2.8 (газ-бензин),400 000 км,типтроник,слева,синий металлик,задний привод,Да,1 950 000 ₸,2 455 000,,,,
Nissan,Patrol, 2013,Актау,внедорожник,5.6 (газ-бензин),158 000 км,автомат,слева,белый металлик,полный привод,Да,11 950 000 ₸,12 667 000,,,,
Toyota,Land Cruiser, 2004,Тараз,внедорожник,4.7 (бензин),326 000 км,автомат,слева,черный металлик,полный привод,Да,8 300 000 ₸,7 760 000,,,,
Hyundai,Accent, 2015,Актау,седан,1.6 (газ-бензин),95 000 км,автомат,слева,бежевый металлик,передний привод,Да,4 700 000 ₸,4 696 000,,,,
Volkswagen,Caddy, 2014,Караганда,минивэн,1.6 (газ-бензин),209 000 км,механика,слева,белый,передний привод,Да,4 400 000 ₸,4 295 000,,WV2ZZZ2K*EX****00,,
Mitsubishi,Delica, 2004,Алматы,внедорожник,3 (бензин),105 000 км,автомат,справа,серебристый металлик,полный привод,Да,6 600 000 ₸,5 883 000,,,,
Daewoo,Nexia, 2006,Нур-Султан (Астана),седан,1.6 (газ-бензин),190 645 км,механика,слева,синий металлик,задний привод,Нет,700 000 ₸,1 122 000,,,,
Hyundai,Atos, 2006,Караганда,хэтчбек,1.1 (бензин),174 000 км,механика,слева,черный,передний привод,Да,1 400 000 ₸,1 600 000,,,,
Ford,EcoSport, 2016,Костанай,кроссовер,1.6 (бензин),62 000 км,вариатор,слева,серый металлик,передний привод,Да,5 000 000 ₸,5 050 000,,,,
ВАЗ (Lada),2114 (хэтчбек), 2005,Нур-Султан (Астана),хэтчбек,1.5 (газ-бензин),,механика,слева,серый,передний привод,Нет,760 000 ₸,932 000,,,,
Volkswagen,Polo, 2015,Нур-Султан (Астана),седан,1.6 (бензин),180 000 км,механика,слева,коричневый металлик,передний привод,Да,4 700 000 ₸,4 255 000,,,,
Honda,Civic, 1995,Караганда,седан,1.5 (бензин),123 456 км,механика,слева,синий,передний привод,Да,900 000 ₸,1 131 000,,,,
ВАЗ (Lada),2114 (хэтчбек), 2007,Костанай,седан,1.6 (бензин),124 480 км,механика,слева,черный,передний привод,Нет,630 000 ₸,958 000,,,,
BMW,X5, 2004,Нур-Султан (Астана),кроссовер,4.8 (газ-бензин),120 000 км,типтроник,слева,серый,полный привод,Да,3 300 000 ₸,5 334 000,,,,
Mercedes-Benz,C 320, 2002,Алматы,седан,3.2 (бензин),230 000 км,автомат,слева,черный,задний привод,Да,3 650 000 ₸,2 850 000,,,,
Subaru,Forester, 2010,Актобе,кроссовер,2.5 (газ-бензин),174 000 км,автомат,слева,красный,полный привод,Нет,4 000 000 ₸,5 200 000,,,,
Nissan,Qashqai, 2012,Алматы,кроссовер,1.6 (бензин),86 400 км,вариатор,слева,белый,передний привод,Да,5 650 000 ₸,5 397 000,,,,
Audi,S8, 2006,Алматы,седан,5.2 (бензин),160 км,автомат,слева,белый металлик,полный привод,Да,5 000 000 ₸,5 000 000,,WaUPN44E*7N****63,,
Mercedes-Benz,E 240, 1997,Караганда,седан,2.4 (бензин),360 000 км,автомат,слева,зеленый металлик,задний привод,Да,3 200 000 ₸,2 695 000,,,,
Kia,K7, 2018,Шымкент,седан,3 (газ),28 800 км,типтроник,слева,черный металлик,передний привод,Да,9 800 000 ₸,10 450 000,,,,
ВАЗ (Lada),2170 (седан), 2015,Костанай,седан,1.6 (бензин),99 000 км,механика,слева,коричневый металлик,передний привод,Нет,2 600 000 ₸,2 791 000,,,,
Volkswagen,Teramont, 2019,Караганда,кроссовер,2 (бензин),8 000 км,автомат,слева,синий металлик,полный привод,Да,21 500 000 ₸,21 500 000,,,,
ВАЗ (Lada),2114 (хэтчбек), 2012,Кокшетау,хэтчбек,1.6 (бензин),,механика,слева,белый,передний привод,Да,1 400 000 ₸,1 513 000,,Rer26654*27****76,,
Volkswagen,Caddy, 2008,Алматы,минивэн,1.9 (дизель),,механика,слева,белый,передний привод,Да,3 700 000 ₸,3 150 000,,,,
ВАЗ (Lada),2110 (седан), 1999,Нур-Султан (Астана),седан,1.5 (бензин),999 999 км,механика,слева,зеленый,передний привод,Да,450 000 ₸,683 000,,,,
Mercedes-Benz,E 240, 2002,Тараз,седан,2.6 (бензин),,автомат,слева,синий,задний привод,Да,3 500 000 ₸,3 695 000,,,,
Lexus,LX 470, 2007,Алматы,внедорожник,4.7 (бензин),,автомат,слева,,,Да,11 000 000 ₸,10 239 000,,,,
